Wavelength	PL390-MAO-Cr-Mau8
nm	Counts
449.342	1005
449.472	1013
449.602	1013
449.732	1015
449.862	1010
449.992	1004
450.122	1018
450.252	1014
450.382	1014
450.512	1015
450.642	1013
450.772	1016
450.902	1016
451.032	1021
451.162	1006
451.292	1016
451.422	1005
451.552	1012
451.682	1015
451.812	1010
451.942	1015
452.071	1011
452.201	1011
452.331	1005
452.461	1010
452.591	1019
452.721	1006
452.851	1008
452.981	1018
453.111	1008
453.241	1020
453.371	1014
453.501	1010
453.63	1007
453.76	1005
453.89	1010
454.02	1009
454.15	1009
454.28	1009
454.41	1008
454.539	1009
454.669	1013
454.799	1015
454.929	1012
455.059	1011
455.189	1009
455.318	1013
455.448	1013
455.578	1010
455.708	1009
455.838	1008
455.968	1011
456.097	1006
456.227	1012
456.357	1009
456.487	1013
456.617	1008
456.746	1013
456.876	1019
457.006	1006
457.136	1010
457.265	1012
457.395	1008
457.525	1010
457.655	1010
457.784	1012
457.914	1015
458.044	1006
458.174	1011
458.303	1012
458.433	1012
458.563	1010
458.692	1012
458.822	1009
458.952	1013
459.081	1004
459.211	1012
459.341	1018
459.47	1012
459.6	1017
459.73	1013
459.86	1015
459.989	1014
460.119	1008
460.248	1012
460.378	1013
460.508	1005
460.637	1012
460.767	1012
460.897	1018
461.026	1011
461.156	1016
461.286	1012
461.415	1008
461.545	1011
461.674	1008
461.804	1008
461.933	1015
462.063	1009
462.193	1011
462.322	1010
462.452	1017
462.581	1016
462.711	1018
462.84	1013
462.97	1009
463.1	1008
463.229	1012
463.359	1013
463.488	1010
463.618	1019
463.747	1005
463.877	1009
464.006	1015
464.136	1015
464.265	1017
464.395	1020
464.524	1005
464.654	1011
464.783	1020
464.913	1007
465.042	1015
465.172	1012
465.301	1011
465.431	1012
465.56	1013
465.69	1011
465.819	1016
465.948	1017
466.078	1015
466.207	1013
466.337	1012
466.466	1012
466.596	1019
466.725	1013
466.854	1009
466.984	1018
467.113	1019
467.243	1012
467.372	1019
467.501	1016
467.631	1013
467.76	1013
467.889	1015
468.019	1014
468.148	1012
468.278	1016
468.407	1011
468.536	1013
468.666	1014
468.795	1012
468.924	1010
469.054	1021
469.183	1012
469.312	1009
469.442	1015
469.571	1014
469.7	1012
469.829	1017
469.959	1011
470.088	1010
470.217	1011
470.347	1014
470.476	1013
470.605	1015
470.734	1013
470.864	1011
470.993	1012
471.122	1020
471.251	1010
471.381	1015
471.51	1012
471.639	1017
471.768	1013
471.898	1019
472.027	1018
472.156	1015
472.285	1016
472.414	1012
472.544	1018
472.673	1017
472.802	1015
472.931	1012
473.06	1015
473.189	1011
473.319	1008
473.448	1016
473.577	1018
473.706	1014
473.835	1011
473.964	1016
474.094	1010
474.223	1017
474.352	1020
474.481	1010
474.61	1013
474.739	1012
474.868	1013
474.997	1017
475.126	1014
475.256	1011
475.385	1014
475.514	1014
475.643	1014
475.772	1018
475.901	1013
476.03	1014
476.159	1015
476.288	1012
476.417	1011
476.546	1012
476.675	1019
476.804	1016
476.933	1014
477.062	1019
477.191	1010
477.32	1008
477.449	1015
477.578	1015
477.707	1020
477.836	1012
477.965	1012
478.094	1016
478.223	1019
478.352	1018
478.481	1014
478.61	1016
478.739	1013
478.868	1012
478.997	1019
479.126	1023
479.255	1015
479.384	1010
479.513	1014
479.642	1027
479.771	1014
479.9	1011
480.028	1014
480.157	1021
480.286	1011
480.415	1008
480.544	1015
480.673	1022
480.802	1014
480.931	1015
481.06	1016
481.188	1009
481.317	1015
481.446	1015
481.575	1017
481.704	1023
481.833	1017
481.961	1011
482.09	1017
482.219	1016
482.348	1014
482.477	1015
482.606	1012
482.734	1014
482.863	1015
482.992	1020
483.121	1017
483.249	1022
483.378	1021
483.507	1014
483.636	1021
483.765	1021
483.893	1018
484.022	1015
484.151	1018
484.28	1017
484.408	1021
484.537	1018
484.666	1011
484.794	1010
484.923	1016
485.052	1014
485.181	1018
485.309	1016
485.438	1014
485.567	1012
485.695	1021
485.824	1020
485.953	1012
486.081	1019
486.21	1022
486.339	1012
486.467	1023
486.596	1015
486.725	1024
486.853	1019
486.982	1014
487.11	1016
487.239	1016
487.368	1018
487.496	1022
487.625	1020
487.754	1015
487.882	1016
488.011	1013
488.139	1016
488.268	1016
488.396	1016
488.525	1023
488.654	1013
488.782	1017
488.911	1016
489.039	1019
489.168	1015
489.296	1015
489.425	1018
489.553	1017
489.682	1022
489.81	1015
489.939	1016
490.067	1020
490.196	1014
490.324	1019
490.453	1016
490.581	1021
490.71	1020
490.838	1025
490.967	1018
491.095	1014
491.224	1015
491.352	1018
491.481	1017
491.609	1020
491.738	1017
491.866	1018
491.994	1017
492.123	1022
492.251	1015
492.38	1013
492.508	1017
492.636	1014
492.765	1020
492.893	1015
493.022	1022
493.15	1017
493.278	1011
493.407	1012
493.535	1014
493.663	1016
493.792	1015
493.92	1013
